抓取時間,去程航班,去程日期,去程起飛,去程抵達,回程日期,機型,飛行分鐘,來回總價TWD
2026-08-24 10:32,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26257
2026-08-24 10:32,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26257
2026-08-24 23:37,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26257
2026-08-24 23:37,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26257
2026-08-25 10:17,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26247
2026-08-25 10:17,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26247
2026-08-25 23:40,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26247
2026-08-25 23:40,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26247
2026-08-26 10:23,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26244
2026-08-26 10:23,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26244
2026-08-27 00:16,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26244
2026-08-27 00:16,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26244
2026-08-27 18:54,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26255
2026-08-27 18:54,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26255
2026-08-28 08:14,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26247
2026-08-28 08:14,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26247
2026-08-28 20:30,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26247
2026-08-28 20:30,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26247
2026-08-29 07:51,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26215
2026-08-29 07:51,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26215
2026-08-29 15:39,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26215
2026-08-29 15:39,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26215
2026-08-30 02:10,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26215
2026-08-30 02:10,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26215
2026-08-30 14:14,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26215
2026-08-30 14:14,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26215
2026-08-31 02:24,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26215
2026-08-31 02:24,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26215
2026-08-31 14:40,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26215
2026-08-31 14:40,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26215
2026-09-01 04:39,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26444
2026-09-01 04:39,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26444
2026-09-01 14:01,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26444
2026-09-01 14:01,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26444
2026-09-02 02:09,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26454
2026-09-02 02:09,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26454
2026-09-02 13:27,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26454
2026-09-02 13:27,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26454
2026-09-03 02:25,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26452
2026-09-03 02:25,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26452
2026-09-03 13:28,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26452
2026-09-03 13:28,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26452
2026-09-04 02:21,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26472
2026-09-04 02:21,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26472
2026-09-04 13:31,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26472
2026-09-04 13:31,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26472
2026-09-05 02:06,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26465
2026-09-05 02:06,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26465
2026-09-05 13:16,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26465
2026-09-05 13:16,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26465
2026-09-06 01:09,BR24,2026-10-08,23:00,10-08 18:40,2026-10-18,Boeing 787-10,640,26465
2026-09-06 01:09,BR26,2026-10-08,23:40,10-08 19:20,2026-10-18,Boeing 787-10,640,26465
